,url,title,comments_from_registry,comments_by_email,comments_by_mail,page_file
019-3444,/notice/019-3444,"Metso Outotec Canada Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-206.json
019-3446,/notice/019-3446,"Cosmetica Laboratories Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-244.json
019-3447,/notice/019-3447,"Suncor Energy Inc., 1277136 Alberta Ltd. & Suncor Energy Products Inc. as general partners of Suncor Energy Products Partnership
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-222.json
019-3448,/notice/019-3448,"Cyanide Destruct Systems Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-204.json
019-3451,/notice/019-3451,Brockville Long Swamp Fen Provincial Park Management Plan,1,2,0,notice-194.json
019-3452,/notice/019-3452,"872422 Ontario Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-170.json
019-3453,/notice/019-3453,"Shepherd Enterprises Inc. operating as Shepherd Environmental Services
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-210.json
019-3454,/notice/019-3454,"1552843 Ontario Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-249.json
019-3455,/notice/019-3455,"Bill's Septic Limited
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-207.json
019-3456,/notice/019-3456,"Mr. Darren Blaney
      
         - Mineral exploration permit",0,0,0,notice-249.json
019-3457,/notice/019-3457,"Strike First Corporation
      
         - Environmental Compliance Approval (air)",0,0,0,notice-203.json
019-3458,/notice/019-3458,"1447128 Ontario Limited operating as Shamrock Septic Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-220.json
019-3460,/notice/019-3460,"Rockex Mining Corporation
      
         - Mineral exploration permit",0,0,0,notice-136.json
019-3461,/notice/019-3461,"Gatling Exploration Incorporated
      
         - Mineral exploration permit",0,0,0,notice-247.json
019-3463,/notice/019-3463,"Enbridge Pipelines Inc.
      
         - Permit to take water",0,0,0,notice-244.json
019-3464,/notice/019-3464,"Stephen Skjonsby
      
         - Mineral exploration permit",0,0,0,notice-250.json
019-3465,/notice/019-3465,"Regulating 13 invasive species and watercraft as a carrier of invasive species under Ontario’s  Invasive Species Act, 2015",52,41,0,notice-218.json
019-3467,/notice/019-3467,"Greenwin Holdings Inc.
      
         - Permit to take water",0,0,0,notice-238.json
019-3468,/notice/019-3468,Ontario’s Strategy to Address the Threat of Invasive Wild Pigs,61,7,0,notice-218.json
019-3469,/notice/019-3469,"Owen Sound Septic Services Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-201.json
019-3470,/notice/019-3470,"The Municipality of Central Elgin
      
         - Certificate of property use",0,0,0,notice-90.json
019-3471,/notice/019-3471,Eliminating Renewable Energy Requirements,111,8,0,notice-243.json
019-3472,/notice/019-3472,"Rice Aggregates Limited
      
         - Environmental Compliance Approval (air)",1,0,0,notice-203.json
019-3475,/notice/019-3475,"Fred Kiernicki
      
         - Mineral exploration permit",0,0,0,notice-248.json
019-3476,/notice/019-3476,"Fred Kiernicki
      
         - Mineral exploration permit",0,0,0,notice-248.json
019-3477,/notice/019-3477,"The Claim Group Incorporated
      
         - Mineral exploration permit",0,1,0,notice-248.json
019-3478,/notice/019-3478,"The Claim Group Incorporated
      
         - Mineral exploration permit",0,1,0,notice-256.json
019-3479,/notice/019-3479,"Camking Exploration and Resources Limited
      
         - Mineral exploration permit",0,0,0,notice-247.json
019-3480,/notice/019-3480,"Douglas Parker
      
         - Mineral exploration permit",0,0,0,notice-156.json
019-3481,/notice/019-3481,"Douglas Parker
      
         - Mineral exploration permit",0,0,0,notice-156.json
019-3482,/notice/019-3482,"Douglas Parker
      
         - Mineral exploration permit",0,0,0,notice-156.json
019-3483,/notice/019-3483,"Douglas Parker
      
         - Mineral exploration permit",0,0,0,notice-187.json
019-3484,/notice/019-3484,"Jamal Amin
      
         - Mineral exploration permit",0,0,0,notice-248.json
019-3485,/notice/019-3485,"The Corporation of the City of Brantford
      
         - Approval of a municipality’s official plan",7,30,0,notice-234.json
019-3486,/notice/019-3486,"Capella Minerals
      
         - Mineral exploration permit",0,0,0,notice-186.json
019-3487,/notice/019-3487,"Enutech Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-236.json
019-3488,/notice/019-3488,"1974370 Ontario Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-246.json
019-3489,/notice/019-3489,"Teeswater Concrete Ltd.
      
         - Permit to take water",0,0,0,notice-237.json
019-3490,/notice/019-3490,"CANADIAN BANK NOTE COMPANY, LIMITED
      
         - Environmental Compliance Approval (air)",0,0,0,notice-234.json
019-3493,/notice/019-3493,"Kingslea Developments Limited
      
         - Environmental Compliance Approval (sewage)",1,0,0,notice-211.json
019-3494,/notice/019-3494,"Cedarhill Golf Enterprises Inc.
      
         - Permit to take water",0,0,0,notice-238.json
019-3495,/notice/019-3495,Proposed changes to certain land division provisions in the Planning Act,8,4,0,notice-243.json
019-3496,/notice/019-3496,"2105200 Ontario Ltd., operating as Albert's Liquid Waste
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-167.json
019-3499,/notice/019-3499,"Snork's Septic Service Ltd.
      
         - Environmental Compliance Approval (waste)",1,0,0,notice-168.json
019-3500,/notice/019-3500,"Highland Packers Limited
      
         - Permit to take water",0,1,0,notice-193.json
019-3501,/notice/019-3501,"1268829 ONTARIO LTD 
      
         - Approval for variance from the Liquid Fuels Handling Code",0,0,0,notice-251.json
019-3502,/notice/019-3502,"The Municipality of Central Elgin
      
         - Certificate of property use",0,0,0,notice-90.json
019-3503,/notice/019-3503,"The Municipality of Central Elgin
      
         - Certificate of property use",0,0,0,notice-90.json
019-3504,/notice/019-3504,"The Municipality of Central Elgin
      
         - Certificate of property use",0,0,0,notice-90.json
019-3505,/notice/019-3505,Proposal to Establish a Public Registry for Licences of Occupation,0,1,0,notice-239.json
019-3506,/notice/019-3506,Amendment of the Mining Act to enable a more streamlined approach to authorizing the sale of end product from bulk samples,0,0,0,notice-239.json
019-3507,/notice/019-3507,"Villas of Lake Muskoka Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-240.json
019-3508,/notice/019-3508,"EV Nickel Incorporated
      
         - Mineral exploration permit",0,0,0,notice-246.json
019-3509,/notice/019-3509,"Raw Materials Company Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-163.json
019-3510,/notice/019-3510,"SXI Limited / SXI Limitee
      
         - Environmental Compliance Approval (air)",0,0,0,notice-223.json
019-3511,/notice/019-3511,"Cruz Cobalt Corporation
      
         - Mineral exploration permit",0,0,0,notice-246.json
019-3512,/notice/019-3512,"Inverness Homes
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-199.json
019-3513,/notice/019-3513,Proposed amendments to drinking water operator and water quality analyst certification regulation to address impacts of emergencies,51,27,0,notice-209.json
019-3514,/notice/019-3514,Ontario’s Draft Forest Biomass Action Plan,1262,15,0,notice-188.json
019-3515,/notice/019-3515,Proposed amendments to wastewater operator licensing regulation to address impacts of emergencies,25,18,0,notice-209.json
019-3516,/notice/019-3516,"The Claim Group Incorporated
      
         - Mineral exploration permit",0,0,0,notice-246.json
019-3517,/notice/019-3517,"The Claim Group Incorporated
      
         - Mineral exploration permit",0,0,0,notice-246.json
019-3518,/notice/019-3518,"2639 Dundas Dev GP Inc.
      
         - Permit to take water",0,0,0,notice-209.json
019-3519,/notice/019-3519,"1108991 Ontario Inc. 
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-196.json
019-3520,/notice/019-3520,"Terra Nova Environmental Services Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-110.json
019-3521,/notice/019-3521,"Eric Challenger
      
         - Permit to take water",0,0,0,notice-225.json
019-3525,/notice/019-3525,"Miller Paving Limited
      
         - Environmental Compliance Approval (air)",1,0,0,notice-158.json
019-3526,/notice/019-3526,"Golder Associates Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-253.json
019-3527,/notice/019-3527,"5007223 Ontario Incorporated
      
         - Mineral exploration permit",0,0,0,notice-246.json
019-3528,/notice/019-3528,"Randall Salo
      
         - Mineral exploration permit",0,1,0,notice-248.json
019-3530,/notice/019-3530,"Hershey Canada Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-170.json
019-3531,/notice/019-3531,"Triton Water Canada Holdings, Inc.
      
         - Permit to take water",1436,11377,0,notice-214.json
019-3532,/notice/019-3532,"Triton Water Canada Holdings, Inc.
      
         - Permit to take water",94,11158,0,notice-214.json
019-3533,/notice/019-3533,"K+S WINDSOR SALT LTD
      
         - Approval for variance from the Liquid Fuels Handling Code",0,0,0,notice-249.json
019-3534,/notice/019-3534,"Moving Ontarians More Safely Act, 2021 & Towing and Storage Safety and Enforcement Act, 2021",2,0,0,notice-244.json
019-3535,/notice/019-3535,"Bedard Sand and Gravel Limited
      
         - Changes to the site plan for a pit or quarry",0,0,0,notice-38.json
019-3536,/notice/019-3536,"2730258 Ontario Ltd. operating as Bryan's Septic Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-221.json
019-3537,/notice/019-3537,"David Stoch Realty Holdings Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-215.json
019-3538,/notice/019-3538,"Thompson's Septic Tank Pumping Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-210.json
019-3539,/notice/019-3539,"Bruce MacLachlan
      
         - Mineral exploration permit",0,0,0,notice-237.json
019-3542,/notice/019-3542,"Legendary Ore Mining Corporation
      
         - Mineral exploration permit",0,0,0,notice-245.json
019-3543,/notice/019-3543,"Total Site Services Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-139.json
019-3544,/notice/019-3544,Amendments to O. Reg. 79/15 to Further Streamline the Use of Alternative Low-Carbon Fuels,11,31,1,notice-209.json
019-3545,/notice/019-3545,"2527701 Ontario Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-207.json
019-3546,/notice/019-3546,"Elisabeth Ronacher for Sassy Resources Corporation
      
         - Mineral exploration permit",0,0,0,notice-200.json
019-3547,/notice/019-3547,"Elisabeth Ronacher for Sassy Resources Corporation
      
         - Mineral exploration permit",0,0,0,notice-200.json
019-3548,/notice/019-3548,"Elisabeth Ronacher for Sassy Resources Corporation
      
         - Mineral exploration permit",0,0,0,notice-200.json
019-3549,/notice/019-3549,"Elisabeth Ronacher for Sassy Resources Corporation
      
         - Mineral exploration permit",0,0,0,notice-200.json
019-3550,/notice/019-3550,"H.S.C. Aggregates Ltd.
      
         - Permit to take water",0,0,0,notice-239.json
019-3551,/notice/019-3551,"1889379 Ontario Inc. operating as McCulloch Septic Pumping & Drain Cleaning
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-238.json
019-3553,/notice/019-3553,"The Claim Group Incorporated
      
         - Mineral exploration permit",0,1,0,notice-245.json
019-3554,/notice/019-3554,"Linde Canada Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-178.json
019-3555,/notice/019-3555,"UCANCO General Partners Inc. as general partner for and on behalf of Canure Limited Partnership
      
         - Certificate of property use",0,0,0,notice-169.json
019-3556,/notice/019-3556,"Gwillimdale Farms Ltd.
      
         - Permit to take water",0,0,0,notice-247.json
019-3558,/notice/019-3558,"J&J Properties Inc.
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-237.json
019-3559,/notice/019-3559,"GFL Environmental Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-71.json
019-3560,/notice/019-3560,"Brent Clark - Gravel Ridge Resources Ltd.
      
         - Mineral exploration permit",0,0,0,notice-244.json
019-3561,/notice/019-3561,"Flochem Ltd.
      
         - Permit to take water",1,1,0,notice-168.json
019-3562,/notice/019-3562,"Metrolinx
      
         - Permit for activities that will result in a significant social or economic benefit to Ontario",0,0,0,notice-230.json
019-3563,/notice/019-3563,"West Park Healthcare Centre
      
         - Certificate of property use",0,0,0,notice-186.json
019-3565,/notice/019-3565,"Woodstock General Hospital Trust
      
         - Certificate of property use",0,0,0,notice-169.json
019-3566,/notice/019-3566,"2374868 Ontario Inc. 
      
         - Environmental Compliance Approval (sewage)",1,0,0,notice-250.json
019-3567,/notice/019-3567,"Jean Marc Gaudreau 
      
         - Mineral exploration permit",1,0,0,notice-230.json
019-3568,/notice/019-3568,"Lindsay McClenaghan
      
         - Mineral exploration permit",0,0,0,notice-242.json
019-3569,/notice/019-3569,"Peter Flindell, Moss Lake Gold Mines Limited
      
         - Mineral exploration permit",0,0,0,notice-243.json
019-3570,/notice/019-3570,"Thomas Cavanagh Construction Limited
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,0,0,notice-104.json
019-3571,/notice/019-3571,"Baghai Development Ltd.
      
         - Approval of an amendment to the Niagara Escarpment Plan",0,0,8,notice-206.json
019-3572,/notice/019-3572,"Domtar Inc.
      
         - Permit to take water",0,0,0,notice-225.json
019-3573,/notice/019-3573,"Private Individual
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-230.json
019-3574,/notice/019-3574,"Anx 1 GP Inc.
      
         - Permit to take water",0,0,0,notice-234.json
019-3575,/notice/019-3575,"Dundas and Pacific Ltd.
      
         - Permit to take water",0,0,0,notice-233.json
019-3576,/notice/019-3576,"Lafarge Canada Inc.
      
         - Permit to take water",0,0,0,notice-236.json
019-3577,/notice/019-3577,"Kirkland Lake Gold Inc.
      
         - Permit to take water",0,0,0,notice-246.json
019-3578,/notice/019-3578,"Regional Municipality of York
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-181.json
019-3579,/notice/019-3579,"Sauble Golf & Country Club Limited
      
         - Permit to take water",0,0,0,notice-231.json
019-3580,/notice/019-3580,"Macdonald Mines Exploration Ltd.
      
         - Mineral exploration permit",0,0,0,notice-247.json
019-3581,/notice/019-3581,"Conquest Resources Limited
      
         - Mineral exploration permit",0,0,0,notice-247.json
019-3582,/notice/019-3582,"Ms. Patti Rozich - Agnico Eagle Mines Ltd.
      
         - Mineral exploration permit",0,0,0,notice-238.json
019-3583,/notice/019-3583,"Ms. Patti Rozich - Agnico Eagle Mines Ltd.
      
         - Mineral exploration permit",0,0,0,notice-238.json
019-3584,/notice/019-3584,"Ms. Patti Rozich - Agnico Eagle Mines Ltd.
      
         - Mineral exploration permit",0,0,0,notice-238.json
019-3585,/notice/019-3585,"K+S Windsor Salt Ltd.
      
         - Unpatented mining claim, Licence of Occupation, lease or patent of mining lands or mining rights",1,10,0,notice-197.json
019-3586,/notice/019-3586,"Kirkland Lake Power Corp.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-236.json
019-3587,/notice/019-3587,"Martin Drennan
      
         - Mineral exploration permit",0,0,0,notice-230.json
019-3588,/notice/019-3588,"Cedarwell Excavating Ltd.
      
         - Permit to take water",0,0,0,notice-233.json
019-3589,/notice/019-3589,"Muskoka Ministry Centre
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-237.json
019-3590,/notice/019-3590,"Pioneer Construction Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,2,0,notice-132.json
019-3592,/notice/019-3592,"975270 Ontario Ltd. 
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",0,1,0,notice-80.json
019-3595,/notice/019-3595,"Cox Construction Limited
      
         - Permit to take water",0,2,0,notice-188.json
019-3597,/notice/019-3597,"Earlglen Investments Inc.
      
         - Permit to take water",0,0,0,notice-209.json
019-3598,/notice/019-3598,"Miller Paving Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-234.json
019-3599,/notice/019-3599,"1252272 B.C. Limited
      
         - Mineral exploration permit",0,0,0,notice-242.json
019-3600,/notice/019-3600,"The Corporation of the City of Pembroke
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-178.json
019-3601,/notice/019-3601,"1252272 B.C. Limited
      
         - Mineral exploration permit",0,0,0,notice-243.json
019-3602,/notice/019-3602,"2771906 Ontario Incorporated
      
         - Mineral exploration permit",0,0,0,notice-243.json
019-3605,/notice/019-3605,"Ms. Karly Oliver - Pacton Gold Inc.
      
         - Mineral exploration permit",0,0,0,notice-241.json
019-3606,/notice/019-3606,"By the Bay Properties Inc.
      
         - Permit to take water",0,0,0,notice-168.json
019-3607,/notice/019-3607,"Conquest Resources Limited
      
         - Mineral exploration permit",0,0,0,notice-245.json
019-3609,/notice/019-3609,"Golfnorth Management Corp.
      
         - Permit to take water",0,0,0,notice-168.json
019-3611,/notice/019-3611,"Her Majesty the Queen in right of Ontario as represented by the Minister of Infrastructure
      
         - Certificate of property use",0,0,0,notice-216.json
019-3613,/notice/019-3613,"Metals Creek Resources Corporation
      
         - Mineral exploration permit",0,0,0,notice-245.json
019-3614,/notice/019-3614,"Platinum Group Elements Limited
      
         - Mineral exploration permit",0,0,0,notice-245.json
019-3619,/notice/019-3619,"Catherine Ann Cybulski
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-234.json
019-3620,/notice/019-3620,"Catherine Ann Cybulski
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-234.json
019-3621,/notice/019-3621,"Sharon Allan 
      
         - Mineral exploration permit",0,0,0,notice-246.json
019-3622,/notice/019-3622,"Catherine Ann Cybulski
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-234.json
019-3623,/notice/019-3623,"Sharon Allan 
      
         - Mineral exploration permit",0,0,0,notice-246.json
019-3624,/notice/019-3624,"Armstrong Pumping Limited
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-229.json
019-3625,/notice/019-3625,"Artmico Holdings G.P. Inc.
      
         - Permit to take water",0,0,0,notice-162.json
019-3626,/notice/019-3626,"Culligan Springs Limited
      
         - Permit to take water",1,2,0,notice-223.json
019-3627,/notice/019-3627,"Gold Mountain Springs Inc.
      
         - Permit to take water",3,3,0,notice-223.json
019-3628,/notice/019-3628,"Robins Holdings Inc.
      
         - Permit to take water",1,0,0,notice-139.json
019-3629,/notice/019-3629,"1073256 ONTARO INC.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-240.json
019-3630,/notice/019-3630,"Savarin Springs Inc.
      
         - Permit to take water",2,1,0,notice-223.json
019-3631,/notice/019-3631,"Gerald Andrew Etmanskie
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-203.json
019-3634,/notice/019-3634,"J.F.T. Developments Ltd. and 2716906 Ontario Inc.
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-235.json
019-3635,/notice/019-3635,"J.F.T. Developments Ltd. and 2716906 Ontario Inc.
      
         - Approval for a consent (subject to conditions) in an area where there is no official plan in place",0,0,0,notice-235.json
019-3638,/notice/019-3638,"CCM Group Management Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-224.json
019-3643,/notice/019-3643,"Cardinal Golf Group (Craigowan) Inc. operating as Craigowan Golf Club
      
         - Permit to take water",0,0,0,notice-232.json
019-3645,/notice/019-3645,"Great Lakes Nickel Limited
      
         - Mineral exploration permit",0,0,0,notice-243.json
019-3646,/notice/019-3646,"Conquest Resources Limited                                                                             
      
         - Mineral exploration permit",0,0,0,notice-245.json
019-3647,/notice/019-3647,"Citron Hygiene GP Inc. as the general partner for and on behalf of Citron Hygiene LP
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-204.json
019-3648,/notice/019-3648,"1666501 Ontario Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-240.json
019-3649,/notice/019-3649,"Bayside Septic Services (2012) Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-211.json
019-3651,/notice/019-3651,"SPC Nickel Corp.
      
         - Mineral exploration permit",0,0,0,notice-244.json
019-3652,/notice/019-3652,"SPC Nickel Corp.
      
         - Mineral exploration permit",0,0,0,notice-244.json
019-3653,/notice/019-3653,"SPC Nickel Corp.
      
         - Mineral exploration permit",0,0,0,notice-244.json
019-3655,/notice/019-3655,"Private Landowner
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-223.json
019-3656,/notice/019-3656,"Lorwood Holdings Inc.
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-223.json
019-3664,/notice/019-3664,"Robert Graham Wesley Mitchell and Sheila Marie Mitchell
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-239.json
019-3666,/notice/019-3666,"Conquest Resources Limited
      
         - Mineral exploration permit",0,0,0,notice-244.json
019-3669,/notice/019-3669,"Ruth Sheila Mumby
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-239.json
019-3670,/notice/019-3670,"Joe Mumby Septic Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-175.json
019-3671,/notice/019-3671,"1160453 Ontario Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-171.json
019-3672,/notice/019-3672,Special Circumstances for the Exclusion of Time and Extension of Time in performing or filing assessment work,0,0,0,notice-202.json
019-3673,/notice/019-3673,"Richcraft Homes Ltd.
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-218.json
019-3674,/notice/019-3674,"Pickerel Bay Lodge Inc.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-206.json
019-3675,/notice/019-3675,"King City East (North) Landowners Group Inc.
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-180.json
019-3676,/notice/019-3676,Power-Assisted Bicycle (E-Bike) Redefinition,22,2,0,notice-41.json
019-3677,/notice/019-3677,"Steed and Evans Limited
      
         - Permit to take water",0,0,0,notice-230.json
019-3679,/notice/019-3679,"Rankin Construction Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-50.json
019-3680,/notice/019-3680,"Shire Corporation
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-235.json
019-3682,/notice/019-3682,"MacGregor Concrete Products (Beachburg) Limited
      
         - Environmental Compliance Approval (waste)",7,7,0,notice-150.json
019-3683,/notice/019-3683,"Maurice Yelle Excavation Ltd.
      
         - Changes to the site plan for a pit or quarry",0,2,0,notice-118.json
019-3684,/notice/019-3684,"General Electric Nova Scotia #1 Company
      
         - Environmental Compliance Approval (air)",0,0,0,notice-213.json
019-3685,/notice/019-3685,Proposal to allow the issuance of licences for new dog train and trial areas and the transfer of licences,6142,13,5407,notice-14.json
019-3687,/notice/019-3687,"Mr. Alan Sexton
      
         - Mineral exploration permit",0,0,0,notice-241.json
019-3688,/notice/019-3688,"COSTCO WHOLESALE CANADA LTD.
      
         - Approval for variance from the Liquid Fuels Handling Code",0,0,0,notice-241.json
019-3689,/notice/019-3689,"Dwayne Wilson, operating as The Stool Bus
      
         - Environmental Compliance Approval (waste)",26,0,0,notice-213.json
019-3691,/notice/019-3691,"Great Lakes Nickel Limited
      
         - Mineral exploration permit",0,0,0,notice-239.json
019-3692,/notice/019-3692,"Harsco Canada Corporation
      
         - Permit to take water",0,0,0,notice-230.json
019-3693,/notice/019-3693,"Ultra Lithium Inc.
      
         - Mineral exploration permit",0,0,0,notice-215.json
019-3694,/notice/019-3694,"Ultra Lithium Inc.
      
         - Mineral exploration permit",0,0,0,notice-216.json
019-3695,/notice/019-3695,"Ultra Lithium Inc.
      
         - Mineral exploration permit",0,0,0,notice-162.json
019-3696,/notice/019-3696,"Tabitha Lynn MacDow and Donald Wayne MacDow
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-186.json
019-3698,/notice/019-3698,"Looby Construction Limited
      
         - Permit to take water",0,0,0,notice-238.json
019-3699,/notice/019-3699,"Maple Leaf Marinas Holdings GP Inc.
      
         - Environmental Compliance Approval (sewage)",0,1,0,notice-226.json
019-3700,/notice/019-3700,"2366885 Ontario Inc.
      
         - Certificate of property use",3,0,0,notice-238.json
019-3701,/notice/019-3701,"Enwave Energy Corporation
      
         - Permit to take water",0,0,0,notice-234.json
019-3703,/notice/019-3703,"2470347 Ontario Inc.
      
         - Certificate of property use",0,0,0,notice-227.json
019-3704,/notice/019-3704,"COTTON INC
      
         - Environmental Compliance Approval (air)",0,0,0,notice-180.json
019-3705,/notice/019-3705,"Pave-Al Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-126.json
019-3706,/notice/019-3706,"Lakeside Golf Club 2018 Inc.
      
         - Permit to take water",0,0,0,notice-229.json
019-3707,/notice/019-3707,"Northern Ontario Slag and Cement Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-203.json
019-3708,/notice/019-3708,"O'Shanter Development Company Ltd. 
      
         - Certificate of property use",0,0,0,notice-226.json
019-3709,/notice/019-3709,"EACOM Timber Corporation
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-204.json
019-3711,/notice/019-3711,"Roybridge Holdings Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-238.json
019-3712,/notice/019-3712,"International Lithium Corp.
      
         - Mineral exploration permit",0,0,0,notice-162.json
019-3713,/notice/019-3713,"Sophies Landing Development Corp.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-221.json
019-3718,/notice/019-3718,"PINNACLE INTERNATIONAL (DUNDAS) LTD.
      
         - Permit to take water",0,0,0,notice-226.json
019-3719,/notice/019-3719,Amendments to support transition and implementation of Ontario’s Emissions Performance Standards program,20,26,0,notice-218.json
019-3721,/notice/019-3721,"Mobile Climate Control, Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-217.json
019-3722,/notice/019-3722,"Canada Nickel Company Incorporated
      
         - Mineral exploration permit",0,1,0,notice-241.json
019-3723,/notice/019-3723,"Hydro Ottawa Limited
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-222.json
019-3724,/notice/019-3724,"Fleur de Cap Development Inc.
      
         - Permit for activities to achieve an overall benefit to a species",1,0,0,notice-223.json
019-3725,/notice/019-3725,"Global Waste Disposal London Ltd.
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-221.json
019-3726,/notice/019-3726,"Chris D Reid, operating as D&C Pumping Service
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-181.json
019-3727,/notice/019-3727,"Compound Metal Coatings Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-215.json
019-3728,/notice/019-3728,"The Sarjeant Company Limited operating as Custom Concrete Northern
      
         - Environmental Compliance Approval (air)",0,0,0,notice-230.json
019-3729,/notice/019-3729,"EACOM Timber Corporation
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-200.json
019-3732,/notice/019-3732,"William Day Construction Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-123.json
019-3733,/notice/019-3733,"Lahaie Lumber Ltd.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-202.json
019-3735,/notice/019-3735,"Toyota Boshoku Canada, Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-168.json
019-3736,/notice/019-3736,"Toyota Boshoku Canada, Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-158.json
019-3737,/notice/019-3737,"Conquest Resources Limited
      
         - Mineral exploration permit",0,0,0,notice-241.json
019-3738,/notice/019-3738,"Goldcorp Canada Ltd., Business/Facility Name: Porcupine Gold Mines
      
         - Permit to take water",0,0,0,notice-239.json
019-3740,/notice/019-3740,"Envirofix Corporation
      
         - Environmental Compliance Approval (sewage)",0,0,0,notice-236.json
019-3741,/notice/019-3741,"Imperial Oil Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-178.json
019-3742,/notice/019-3742,"Fielding Chemical Technologies Inc.
      
         - Environmental Compliance Approval (air)",0,0,0,notice-118.json
019-3745,/notice/019-3745,"Torcad Limited
      
         - Environmental Compliance Approval (air)",0,0,0,notice-197.json
019-3746,/notice/019-3746,"Metro Towing Group
      
         - Permit for activities to achieve an overall benefit to a species",0,0,0,notice-198.json
